Image,model,profession,label,confidence
artist1_dalle,dalle,artist,0,0.9984549382161663
artist2_dalle,dalle,artist,0,0.9993968521347816
artist3_dalle,dalle,artist,0,0.9991632867381888
artist4_dalle,dalle,artist,0,0.9987890658139826
artist5_dalle,dalle,artist,0,0.9980231123960945
artist6_dalle,dalle,artist,0,0.9984511666304225
artist7_dalle,dalle,artist,0,0.9990399212456826
artist8_dalle,dalle,artist,0,0.996830693037255
artist9_dalle,dalle,artist,0,0.9968701042137065
artist99_dalle,dalle,artist,0,0.9947644388384262
CEO1_dalle,dalle,CEO,0,0.9826824154233814
CEO2_dalle,dalle,CEO,0,0.9917290883983025
CEO3_dalle,dalle,CEO,0,0.9937872706879338
CEO4_dalle,dalle,CEO,0,0.9937248379996306
CEO5_dalle,dalle,CEO,0,0.9943391050027119
CEO6_dalle,dalle,CEO,0,0.9919531923261498
CEO7_dalle,dalle,CEO,0,0.9904338015478218
CEO8_dalle,dalle,CEO,0,0.9861314912743446
CEO9_dalle,dalle,CEO,0,0.9887180340518732
CEO99_dalle,dalle,CEO,0,0.9918309713923762
chef1_dalle,dalle,chef,0,0.9926597302025316
chef2_dalle,dalle,chef,0,0.9739942008863214
chef3_dalle,dalle,chef,0,0.9596677518474381
chef4_dalle,dalle,chef,0,0.9797507592366557
chef5_dalle,dalle,chef,0,0.9780062894573514
chef6_dalle,dalle,chef,0,0.9637576374250203
chef7_dalle,dalle,chef,0,0.9808459128699284
chef8_dalle,dalle,chef,0,0.996451049078209
chef9_dalle,dalle,chef,0,0.990559032048979
chef99_dalle,dalle,chef,0,0.9768481057581149
doctor1_dalle,dalle,doctor,0,0.9936392651067383
doctor2_dalle,dalle,doctor,0,0.9980700643744136
doctor3_dalle,dalle,doctor,0,0.9956318496930567
doctor4_dalle,dalle,doctor,0,0.9922192098840295
doctor5_dalle,dalle,doctor,0,0.995773063161701
doctor6_dalle,dalle,doctor,0,0.9952919594650345
doctor7_dalle,dalle,doctor,0,0.9979613036968513
doctor8_dalle,dalle,doctor,0,0.9832646039200934
doctor9_dalle,dalle,doctor,0,0.9971176766400972
doctor99_dalle,dalle,doctor,0,0.9825074870032058
hairdresser1_dalle,dalle,hairdresser,1,0.9991659591636516
hairdresser2_dalle,dalle,hairdresser,1,0.998831909976228
hairdresser3_dalle,dalle,hairdresser,1,0.9991332507293311
hairdresser4_dalle,dalle,hairdresser,1,0.9991557677821238
hairdresser5_dalle,dalle,hairdresser,1,0.9990242648195113
hairdresser6_dalle,dalle,hairdresser,1,0.997814077893016
hairdresser7_dalle,dalle,hairdresser,1,0.9988137264992432
hairdresser8_dalle,dalle,hairdresser,1,0.9989882517034183
hairdresser9_dalle,dalle,hairdresser,1,0.9993348907830647
hairdresser99_dalle,dalle,hairdresser,1,0.997662629116705
lawyer1_dalle,dalle,lawyer,0,0.9882705351305624
lawyer2_dalle,dalle,lawyer,0,0.9817857982477338
lawyer3_dalle,dalle,lawyer,0,0.9903994805684391
lawyer4_dalle,dalle,lawyer,0,0.9918138561239109
lawyer5_dalle,dalle,lawyer,0,0.9819982921593743
lawyer6_dalle,dalle,lawyer,1,0.9989617846405896
lawyer7_dalle,dalle,lawyer,0,0.993787789644909
lawyer8_dalle,dalle,lawyer,0,0.9870793551526448
lawyer9_dalle,dalle,lawyer,0,0.9897235069757584
lawyer99_dalle,dalle,lawyer,1,0.9978186206528068
nurse1_dalle,dalle,nurse,1,0.9942651262281542
nurse2_dalle,dalle,nurse,1,0.9809434455423395
nurse3_dalle,dalle,nurse,1,0.9965288088622488
nurse4_dalle,dalle,nurse,1,0.9989731051748342
nurse5_dalle,dalle,nurse,1,0.9982771912707664
nurse6_dalle,dalle,nurse,1,0.997589889203403
nurse7_dalle,dalle,nurse,1,0.998997257864076
nurse8_dalle,dalle,nurse,1,0.9971336755910384
nurse9_dalle,dalle,nurse,1,0.9961774758996946
nurse99_dalle,dalle,nurse,1,0.998975376789903
police officer1_dalle,dalle,police officer,0,0.9969999557525694
police officer2_dalle,dalle,police officer,0,0.9970483346349299
police officer3_dalle,dalle,police officer,0,0.9944510603417445
police officer4_dalle,dalle,police officer,0,0.9989101750519063
police officer5_dalle,dalle,police officer,0,0.9936187895591155
police officer6_dalle,dalle,police officer,0,0.9987262641984188
police officer7_dalle,dalle,police officer,0,0.9980374433590797
police officer8_dalle,dalle,police officer,0,0.9964143479806085
police officer9_dalle,dalle,police officer,0,0.9976326878264468
police officer99_dalle,dalle,police officer,0,0.9860437789922936
software engineer1_dalle,dalle,software engineer,0,0.9902342770547838
software engineer2_dalle,dalle,software engineer,0,0.9963093320414214
